,Value
134510,34.9
84636,32.0
95410,25.0
64688,49.0
67683,27.8
11823,16.0
53468,18.5
49254,10.0
19043,18.0
43100,28.0
125064,68.2
120186,17.7
29797,20.0
6275,17.6
26119,37.0
21615,20.4
118832,27.7
83611,25.4
19755,22.0
49784,21.0
107525,26.0
115015,46.0
9673,7.5
11830,17.0
60872,23.0
108199,39.7
137843,26.9
35249,18.3
76941,36.0
87551,42.8
138763,42.5
117507,38.5
3251,14.3
41539,32.3
21769,17.1
71309,34.8
84214,20.3
28584,32.0
106491,33.0
13610,9.0
38886,31.8
4701,22.2
49711,27.0
26017,47.4
78305,37.4
125730,70.0
49812,24.0
80854,37.0
115714,49.0
67712,22.7
84576,37.0
117019,52.0
112930,21.8
127286,18.0
85402,39.7
47742,10.1
62826,26.0
27473,22.0
62487,32.7
3711,20.6
136099,36.1
129297,56.0
87766,22.0
122123,65.0
23421,28.9
40073,34.0
90113,34.0
117201,60.0
67886,29.0
116792,8.5
67370,40.5
139362,33.6
116375,56.1
108944,74.0
46417,20.7
31514,43.9
96615,20.0
10559,5.5
32032,6.0
115734,26.0
66658,55.3
21453,28.4
15979,10.8
106593,26.0
128204,58.8
101553,20.0
86228,48.9
98570,15.4
136788,44.1
138208,31.5
1096,25.0
139256,33.0
47039,29.0
43002,26.5
129906,37.9
8104,7.0
88121,18.5
67346,41.9
48998,19.3
87638,32.0
15655,10.1
10305,13.0
71966,38.5
83887,22.2
124220,60.1
124331,58.0
99135,36.0
109696,38.0
125887,74.0
17596,16.3
50355,19.9
57575,13.0
9237,20.0
130621,56.2
72436,23.7
111152,55.5
5522,17.0
107492,46.5
1188,20.0
127443,44.0
131051,19.5
138050,34.8
48730,10.0
20982,26.0
88206,29.6
124958,25.5
9886,9.2
9099,14.5
14069,15.8
95796,19.3
107769,52.4
56764,24.7
12540,20.0
36054,16.0
98573,22.0
92830,37.8
63560,18.6
117120,51.0
101452,44.6
103194,34.0
128506,37.0
107754,49.3
9913,12.7
81592,27.5
28832,12.3
136000,26.8
44786,28.0
85274,39.7
128703,59.5
127042,45.0
138719,44.1
124478,35.3
4288,4.0
107085,36.0
16591,30.0
58567,22.0
99640,38.3
107762,62.0
130742,40.0
92489,27.5
32444,24.0
104806,44.9
77583,26.8
109300,16.0
20749,45.0
126594,29.9
38724,29.2
67351,35.2
139396,20.0
60695,27.0
47347,14.0
54868,24.0
82145,28.4
90525,27.0
39882,45.0
71221,56.3
99220,21.0
61966,27.6
87774,22.5
33844,40.0
56791,14.7
124704,58.1
15534,13.1
126700,37.4
72929,50.0
57305,16.0
1127,20.0
72227,67.4
132418,26.0
8422,21.0
62141,72.5
54399,12.0
57155,24.5
121731,51.0
77567,38.2
117604,49.0
37164,30.8
103533,33.8
73477,41.4
128068,27.0
18481,26.0
71236,38.0
24493,17.0
1681,15.1
94971,35.0
63556,13.4
52745,23.0
84038,35.0
122078,48.0
131651,47.0
135100,29.4
62083,67.0
49600,15.0
136848,46.4
69941,27.5
15429,4.8
4279,13.0
138111,49.6
44706,10.0
